CAS,SOSTANZA
14798-03-9,Azoto ammoniacale
14798-03-9,Ammoniaca totale
14797-55-8,Azoto nitrico
14797-65-0,Azoto nitroso
17778-88-0,Azoto Totale
16887-00-6,Cloruri
16984-48-8,Fluoruri
14808-79-8,Solfati
10606-46-9,"2,4-Dicofol"
72-54-8,"4,4'-DDD"
72-55-9,"4,4'-DDE"
135410-20-7,Acetamiprid
74070-46-5,Aclonifen
15972-60-8,Alachlor
309-00-2,Aldrin
834-12-8,Ametrina
6190-65-4,Atrazina-desetil
1007-28-9,Atrazina-desisopropil
120162-55-2,Azimsulfuron
83055-99-6,Bensulfuron Metile
314-40-9,Bromacil
124495-18-7,Chinossifen
57-74-9,Chlordano Totale
470-90-6,Chlorfenvinphos
21725-46-2,Cianazina
28159-98-0,Cibutrina
5103-71-9,Clordano cis
5103-74-2,Clordano trans
2921-88-2,Clorpirifos
5598-13-0,Clorpirifos Metile
210880-92-5,Clotianidin
10313,COD
101205-02-1,Cycloxidim
8017-34-3,DDT
15307-86-5,Diclofenac
2008-58-4,"Diclorobenzammide 2,6"
115-32-2,Dicofol
60-57-1,Dieldrin
115-29-7,Endosulfan (isomeri alfa e beta)
959-98-8,Endosulfan alfa
33213-65-9,Endosulfan beta
1031-07-8,Endosulfan solfato
72-20-8,Endrin
76-44-8,Eptacloro
1024-57-3,Eptacloro epossido
28044-83-9,Eptacloro Epossido endo
608-73-1,Esaclorocicloesano
122-14-5,Fenitrotion
55-38-9,Fenthion
142459-58-3,Flufenacet
81406-37-3,Fluroxipir
138261-41-3,Imidacloprid
34123-59-6,Isoproturon
141112-29-0,Isoxaflutol
121-75-5,Malathion
57837-19-1,Metalaxyl
41394-05-2,Metamitron
2032-65-7,Metiocarb
51218-45-2,Metolachlor
21087-64-9,Metribuzin
7786-34-7,Mevinfos
2212-67-1,Molinate
111991-09-4,Nicosulfuron
53-19-0,"o,p'-DDD"
3424-82-6,"o,p-DDE"
789-02-6,"o,p'-DDT"
1113-02-6,Ometoato
19666-30-9,Oxadiazon
77732-09-3,Oxadixyl
301-12-2,Oxydemeton-metile
56-38-2,Paration etile
298-00-0,Paration metile
40487-42-1,Pendimetalin
23103-98-2,Pirimicarb
51218-49-6,Pretilachlor
7287-19-6,Prometrina
709-98-8,Propanil
2275-18-5,Protoate
84087-01-4,Quinclorac
122931-48-0,Rimsulfuron
99105-77-8,Sulcotrione
30125-63-4,Terbutilazina desetil
886-50-0,Terbutrina
111988-49-9,Thiacloprid
28249-77-6,Thiobencarb
153719-23-4,Tiametoxam
2303-17-5,Triallate
1582-09-8,Trifluralin
34256-82-1,Acetocloro
865318-97-4,Ametoctradina
131860-33-8,Azoxistrobina
188425-85-6,Boscalid
81777-89-1,Clomazone
110488-70-5,Dimetomorf
239110-15-7,Fluopicolide
104206-82-8,Mesotrione
10265-92-6,"Metamidofos (trifosforamidato di O,S- dimetile)"
66246-88-6,Penconazolo
53122-28-0,Pirimetanil
67747-09-5,Procloraz
118134-30-8,Spiroxamina
107534-96-3,Tebuconazolo
23564-05-8,Tiofanato metile
1066-51-9,AMPA
18540-29-9,Cromo VI
1071-83-6,Glifosate
205-99-2,Benzo (b) fluorantene
191-24-2,"Benzo (g,h,i) perilene"
207-08-9,Benzo (k) fluorantene
2058-94-8,PFUdA (Perfluoro Undecanoic Acid)
1918-00-9,Dicamba
189-64-0,"Dibenzo(a,h)pirene"
1190931-27-1,"cC6O4 [Difluoro{[2,2,4,5-tetrafluoro- 5-(trifluoromethoxy)-1,3-dioxolan- 4-yl]oxy} acetic acid]"
37680-73-2,PCB 101
32598-14-4,PCB 105
38380-03-9,PCB 110
74472-37-0,PCB 114
31508-00-6,PCB 118
65510-44-3,PCB 123
57465-28-8,PCB 126
85760-74-3,PCB 128
35065-28-2,PCB 138
51908-16-8,PCB 146
38380-04-0,PCB 149
52663-63-5,PCB 151
35065-27-1,PCB 153
38380-08-4,PCB 156
69782-90-7,PCB 157
52663-72-6,PCB 167
32774-16-6,PCB 169
35065-30-6,PCB 170
52663-70-4,PCB 177
35065-29-3,PCB 180
52663-69-1,PCB 183
52663-68-0,PCB 187
39635-31-9,PCB 189
7012-37-5,PCB 28
35693-99-3,PCB 52
32598-13-3,PCB 77
70362-50-4,PCB 81
38379-99-6,PCB 95
38380-01-7,PCB 99
50-28-2,17-beta-estradiolo
26787-78-0,Amoxicillina
83905-01-5,Azitromicina
85721-33-1,Ciprofloxacina
81103-11-9,Claritromicina
114-07-8,Eritromicina
139968-49-3,Metaflumizone
95-81-8,2-cloro-5-metilanilina
91-59-8,2-Naftilammina
35822-46-9,"1,2,3,4,6,7,8 HpCDD"
67562-39-4,"1,2,3,4,6,7,8 HpCDF"
39227-28-6,"1,2,3,4,7,8 HxCDD"
70648-26-9,"1,2,3,4,7,8 HxCDF"
55673-89-7,"1,2,3,4,7,8,9 HpCDF"
57653-85-7,"1,2,3,6,7,8 HxCDD"
57117-44-9,"1,2,3,6,7,8 HxCDF"
40321-76-4,"1,2,3,7,8 PeCDD"
57117-41-6,"1,2,3,7,8 PeCDF"
19408-74-3,"1,2,3,7,8,9 HxCDD"
72918-21-9,"1,2,3,7,8,9 HxCDF"
60851-34-5,"2,3,4,6,7,8 HxCDF"
57117-31-4,"2,3,4,7,8 PeCDF"
1746-01-6,"2,3,7,8 TCDD"
51207-31-9,"2,3,7,8 TCDF"
3268-87-9,OCDD
39001-02-0,OCDF
