ANNO,CODICE_ATS_RESIDENZA,DESCRIZIONE_ATS_RESIDENZA,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,ATC LIVELLO 1 ,DESCRIZIONE_ATC LIVELLO 1,GENERE,FASCIA_ETA',POPOLAZIONE,DDD PER ATC LIVELLO 1
2016,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,M,18-39,1188648,12.107378151029
2012,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,M,18-39,1284026,2.6282291862199
2016,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,0-17,863814,63.380893743073
2017,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,M,18-39,1174933,0.98182329914777
2017,30,REGIONE LOMBARDIA,,,,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,65-79,855504,395.68403215612
2013,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,F,18-39,1226395,1.630579957518
2016,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,F,40-64,1883492,8.987891902833
2012,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,F,18-39,1252874,27.776445721032
2013,30,REGIONE LOMBARDIA,,,,ALL,ALL,F,40-64,1838463,663.99079890447
2012,30,REGIONE LOMBARDIA,,,,C,SISTEMA CARDIOVASCOLARE,F,18-39,1252874,11.594537453732
2014,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,0-17,867932,68.560721767212
2017,30,REGIONE LOMBARDIA,,,,V,VARI,M,80 e +,272385,4.8010552289996
2013,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,M,40-64,1836107,9.263404296966
2014,30,REGIONE LOMBARDIA,,,,V,VARI,F,65-79,843974,2.6838677789111
2017,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,40-64,1896311,732.10464468442
2014,30,REGIONE LOMBARDIA,,,,V,VARI,M,65-79,727659,4.9860159275565
2016,30,REGIONE LOMBARDIA,,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,1884130,25.077915260332
2014,30,REGIONE LOMBARDIA,,,,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,0-17,867932,0.27610895825615
2016,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,F,65-79,854020,21.051120904943
2014,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,65-79,727659,2689.1294515925
2013,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,F,65-79,48202,2337.8507936919
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,M,0-17,41935,56.389255518594
2014,30,REGIONE LOMBARDIA,,,,C,SISTEMA CARDIOVASCOLARE,F,0-17,815557,0.64606502985166
2013,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,M,18-39,1254026,25.230335132643
2015,30,REGIONE LOMBARDIA,,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,80 e +,469990,2.9060502890103
2012,30,REGIONE LOMBARDIA,,,,V,VARI,M,65-79,702416,5.4420053334006
2017,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,M,18-39,1174933,27.366782356533
2014,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,M,0-17,867932,0.63843532281429
2016,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,F,18-39,1157917,1.4095668791063
2017,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,F,40-64,1893769,2.0980222984009
2013,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,F,65-79,836148,3.7256054828833
2013,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,F,80 e +,445141,19.164675407436
2015,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,40-64,1867831,733.52981041918
2012,30,REGIONE LOMBARDIA,,,,V,VARI,F,40-64,1824833,0.71816566710753
2015,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,M,65-79,736311,22.168878780521
2013,30,REGIONE LOMBARDIA,,,,R,SISTEMA RESPIRATORIO,F,0-17,815528,22.208302724206
2015,30,REGIONE LOMBARDIA,,,,ALL,ALL,M,65-79,736311,2665.1630762444
2016,30,REGIONE LOMBARDIA,,,,ALL,ALL,F,65-79,854020,2183.4644692203
2016,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,F,65-79,854020,147.48909892926
2014,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,F,18-39,1198807,0.74155858203474
2016,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,M,0-17,863814,0.22040634627273
2012,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",ALL,ALL,F,40-64,100670,731.09522511112
2017,30,REGIONE LOMBARDIA,,,,J,ANTINFETTIVI PER USO SISTEMICO,M,0-17,851765,19.190288727445
2014,30,REGIONE LOMBARDIA,,,,R,SISTEMA RESPIRATORIO,F,80 e +,456823,68.597058407797
2012,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,F,65-79,824702,133.01946029171
2015,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,M,40-64,1867831,9.1965399040318
2015,30,REGIONE LOMBARDIA,,,,ALL,ALL,F,0-17,814517,54.238345138767
2012,30,REGIONE LOMBARDIA,,,,V,VARI,M,40-64,1823525,1.7102663171617
2012,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,M,0-17,866503,0.58113697415834
2015,30,REGIONE LOMBARDIA,,,,N,SISTEMA NERVOSO,M,0-17,866881,3.3985856209621
2017,30,REGIONE LOMBARDIA,,,,S,ORGANI DI SENSO,F,65-79,855504,50.151848766946
2015,30,REGIONE LOMBARDIA,,,,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,469990,106.47020697185
2013,30,REGIONE LOMBARDIA,,,,D,DERMATOLOGICI,F,40-64,1838463,2.46748972971
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",N,SISTEMA NERVOSO,F,65-79,95876,123.14320900899
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",V,VARI,M,65-79,57041,3.8744385137143
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",B,SANGUE E ORGANI EMOPOIETICI,F,18-39,130572,25.882239913045
2014,30,REGIONE LOMBARDIA,,,,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,1198807,15.26523118489
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,"(45.65171815, 10.25368782)",N,SISTEMA NERVOSO,F,0-17,100633,2.8789175234079
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,65-79,253836,32.747407508676
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,0-17,99784,0.89439693845666
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,63641,25.406426889853
2013,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",D,DERMATOLOGICI,M,65-79,85229,6.6504394862274
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",J,ANTINFETTIVI PER USO SISTEMICO,M,40-64,141914,14.186138720992
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",V,VARI,M,0-17,122769,0.028581486111404
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",J,ANTINFETTIVI PER USO SISTEMICO,F,40-64,269136,17.382668893985
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",J,ANTINFETTIVI PER USO SISTEMICO,F,65-79,102242,21.082076584195
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,120220,0.08384546143577
