ANNO_EROG,ATS_ID,ATS_DESC,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,ASSOC_PENICILINE,I_ASSOC_PENICILINE,CEFALOSPIRINE_3_4_GEN,I_CEFALOSP_3_4_GEN,FLUOROCHINOLONI,I_FLUOROCHINOLONI,DDD PER ATC JO1
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),861864.52,69.2164,105269.97,8.4542,278039,22.3293,1245173.49
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),2111869.68,71.1916,292870.79,9.8727,561718.56,18.9357,2966459.03
2016,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),3255107.57,69.6128,447681.58,9.574,973226.5,20.8132,4676015.65
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),8973455.14,69.5806,1315631.72,10.2015,2607397.64,20.2179,12896484.5
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),918591.32,70.1893,147575.46,11.2762,242566.94,18.5345,1308733.72
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),904651.86,73.0569,161501.56,13.0424,172130.64,13.9007,1238284.06
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),9010881.91,68.6939,1143395.9,8.7166,2963169,22.5895,13117446.81
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),2109533.74,69.6717,287130.12,9.4831,631157.5,20.8453,3027821.36
2019,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),3071099.96,70.7995,647705.44,14.9319,618936.81,14.2686,4337742.21
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3813257.26,67.559,688501.78,12.1981,1142581,20.243,5644340.04
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1313331.62,65.8147,253074.57,12.6823,429093,21.503,1995499.19
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),3103701.68,74.1003,496015.94,11.8423,588797.71,14.0574,4188515.33
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),3704885.43,71.4499,515261.64,9.937,965144,18.6131,5185291.07
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1237726.79,65.2698,273778.78,14.4373,384819.44,20.2929,1896325.01
2016,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1263003.96,65.3684,267950.68,13.8681,401178.5,20.7635,1932133.14
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3843108.72,71.3981,808863.39,15.0272,730675.63,13.5747,5382647.74
2018,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1230447.54,64.9296,289388.07,15.2708,375212.03,19.7996,1895047.64
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),869176.2,69.1549,110535.63,8.7946,277143,22.0505,1256854.83
2019,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1200791.19,67.8386,294358.7,16.6298,274921.51,15.5317,1770071.4
2018,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),2086571.79,71.708,300779.56,10.3367,522466.42,17.9553,2909817.77
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),2149716.5,71.2719,285185.45,9.4551,581316.5,19.273,3016218.45
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),3726138.09,71.6729,552877.08,10.6347,919792.05,17.6924,5198807.22
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3676874.38,66.5894,626108.29,11.339,1218728.5,22.0716,5521711.17
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),3136370.63,67.3211,600122.07,12.8814,922327.51,19.7974,4658820.21
