ANNO,PROVINCIA,GENERE,CAUSA DI MORTE,COORDINATA X,COORDINATA Y,NUMERO DECESSI POPOLAZIONE,POSIZIONE
2012,ITALIA,M,tumori-tumori maligni-di cui tumori maligni del pancreas,,,5124,
2013,ITALIA,F,tumori-tumori maligni-di cui tumori maligni della laringe,,,156,
2014,ITALIA,F,tumori-tumori maligni-di cui tumori maligni della laringe,,,171,
2015,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni della laringe,,,1476,
2013,ITALIA,ALL,tumori-tumori maligni-di cui melanomi maligni della cute,,,1943,
2015,ITALIA,F,tumori-tumori maligni-di cui tumori maligni del seno,,,12274,
2014,ITALIA,F,tumori-tumori maligni-di cui tumori maligni del rene,,,1185,
2013,REGIONE LOMBARDIA,F,tumori-tumori maligni-di cui tumori maligni della tiroide,,,60,
2014,ITALIA,M,tumori-tumori maligni-di cui tumori maligni della tiroide,,,215,
2015,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni della tiroide,,,549,
2013,ITALIA,M,tumori-tumori maligni-di cui morbo di hodgkin e linfomi,,,2704,
2014,ITALIA,F,tumori-tumori maligni-di cui morbo di hodgkin e linfomi,,,2352,
2015,ITALIA,M,tumori-tumori maligni-di cui morbo di hodgkin e linfomi,,,2839,
2013,ITALIA,ALL,disturbi psichici e comportamentali-demenza,,,15790,
2014,ITALIA,M,disturbi psichici e comportamentali-demenza,,,5059,
2013,ITALIA,M,malattie del sistema circolatorio,,,96508,
2014,ITALIA,M,malattie del sistema circolatorio,,,95299,
2015,ITALIA,ALL,malattie del sistema circolatorio-malattie ischemiche del cuore,,,72670,
2014,MANTOVA,ALL,ALL,10.77086348,45.14135331,4288,"(45.14135331, 10.77086348)"
2014,LECCO,ALL,ALL,9.388156645,45.85028614,3054,"(45.85028614, 9.388156645)"
2014,REGIONE LOMBARDIA,ALL,malattie del sistema respiratorio,,,6501,
2015,ITALIA,F,malattie del sistema respiratorio,,,22945,
2012,REGIONE LOMBARDIA,M,malattie della cute e del tessuto sottocutaneo,,,47,
2014,ITALIA,M,"complicazioni della gravidanza, del parto e del puerperio",,,,
2012,ITALIA,F,malformazioni congenite ed anomalie cromosomiche,,,610,
2015,ITALIA,ALL,malformazioni congenite ed anomalie cromosomiche,,,1354,
2013,ITALIA,F,cause esterne di traumatismo e avvelenamento,,,9683,
2015,SONDRIO,F,tumori-tumori maligni-di cui tumori maligni del pancreas,9.879429303,46.1707552,22,"(46.1707552, 9.879429303)"
2015,ITALIA,F,malattie infettive e parassitarie-epatite virale,,,1526,
2013,CREMONA,M,tumori,10.0131151,45.13644491,651,"(45.13644491, 10.0131151)"
2013,MONZA E DELLA BRIANZA,F,alcune malattie infettive e parassitarie,9.258430902,45.5823624,97,"(45.5823624, 9.258430902)"
2012,LODI,M,tumori-tumori maligni-di cui tumori maligni della laringe,9.510140481,45.31535435,10,"(45.31535435, 9.510140481)"
2015,VARESE,ALL,tumori-tumori maligni-di cui tumori maligni della cervice uterina,8.80650544,45.80041256,3,"(45.80041256, 8.80650544)"
2015,SONDRIO,F,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2015,LODI,F,tumori-tumori maligni-di cui tumori maligni dello stomaco,9.510140481,45.31535435,11,"(45.31535435, 9.510140481)"
2012,MONZA E DELLA BRIANZA,F,tumori-tumori maligni,9.258430902,45.5823624,1087,"(45.5823624, 9.258430902)"
2015,COMO,M,tumori-tumori maligni-di cui tumori maligni del seno,9.039360974,45.80216962,,"(45.80216962, 9.039360974)"
2014,MILANO,F,tumori-tumori maligni-di cui melanomi maligni della cute,9.18951,45.46427,50,"(45.46427, 9.18951)"
2013,REGIONE LOMBARDIA,ALL,tumori-tumori maligni-di cui tumori maligni dello stomaco,,,1844,
2015,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni dell'esofago,,,1834,
2014,LECCO,M,"tumori-tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.388156645,45.85028614,141,"(45.85028614, 9.388156645)"
2015,BRESCIA,M,malattie infettive e parassitarie-altre malattie infettive e parassitarie,10.18167955,45.51939749,88,"(45.51939749, 10.18167955)"
2012,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,,,10067,
2015,MILANO,ALL,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.18951,45.46427,179,"(45.46427, 9.18951)"
2012,PAVIA,ALL,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.14034225,45.18407925,222,"(45.18407925, 9.14034225)"
2013,MILANO,ALL,tumori-tumori maligni-di cui tumori maligni del pancreas,9.18951,45.46427,649,"(45.46427, 9.18951)"
2013,PAVIA,F,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.14034225,45.18407925,6,"(45.18407925, 9.14034225)"
2014,LODI,ALL,malattie infettive e parassitarie-epatite virale,9.510140481,45.31535435,17,"(45.31535435, 9.510140481)"
2014,REGIONE LOMBARDIA,M,tumori-tumori maligni-di cui melanomi maligni della cute,,,226,
2012,REGIONE LOMBARDIA,F,tumori-tumori maligni,,,13197,
2014,MANTOVA,ALL,tumori-tumori maligni-di cui tumori maligni dell'esofago,10.77086348,45.14135331,14,"(45.14135331, 10.77086348)"
2012,MONZA E DELLA BRIANZA,F,malattie infettive e parassitarie-aids (malattia da hiv),9.258430902,45.5823624,3,"(45.5823624, 9.258430902)"
2013,CREMONA,M,tumori-tumori maligni-di cui tumori maligni del seno,10.0131151,45.13644491,,"(45.13644491, 10.0131151)"
2012,PAVIA,F,tumori-tumori maligni-di cui tumori maligni dell'esofago,9.14034225,45.18407925,4,"(45.18407925, 9.14034225)"
2015,LECCO,M,alcune malattie infettive e parassitarie,9.388156645,45.85028614,42,"(45.85028614, 9.388156645)"
2012,ITALIA,ALL,tumori-tumori maligni-di cui tumori maligni della cervice uterina,,,413,
2015,ITALIA,F,"tumori-tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",,,8851,
2012,LODI,M,"tumori-tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.510140481,45.31535435,7,"(45.31535435, 9.510140481)"
2015,SONDRIO,ALL,tumori-tumori maligni,9.879429303,46.1707552,573,"(46.1707552, 9.879429303)"
2014,MANTOVA,F,tumori-tumori maligni-di cui tumori maligni della laringe,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2014,BRESCIA,ALL,tumori-tumori maligni-di cui tumori maligni della laringe,10.18167955,45.51939749,26,"(45.51939749, 10.18167955)"
2012,BERGAMO,F,tumori-tumori maligni-di cui tumori maligni di altre parti dell'utero,9.63853045,45.68012929,35,"(45.68012929, 9.63853045)"
