ANNO_EROG,ATS_ID,ATS_DESC,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,LIV_4_ID,LIV_4_DESC,ATC_ID,ATC_DESC,CATEGORIA,GIORNI,POP,DDD_1000_AB_DIE
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01MA,FLUOROCHINOLONI,J01MA03,PEFLOXACINA,Watch,63,1030104,0
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB01,CEFALEXINA,Access,13020,1205330,0.03
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01MA,FLUOROCHINOLONI,J01MA14,MOXIFLOXACINA,Watch,16230,1103695,0.04
2019,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),J01FF,LINCOSAMIDI,J01FF01,CLINDAMICINA,Access,1228.43,509099,0.007
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01DB,CEFALOSPORINE DI PRIMA GENERAZIONE,J01DB01,CEFALEXINA,Access,37717.5,3372450,0.031
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),J01MA,FLUOROCHINOLONI,J01MA06,NORFLOXACINA,Watch,49728,3087115,0.044
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),J01DD,CEFALOSPORINE DI TERZA GENERAZIONE,J01DD02,CEFTAZIDIMA,Watch,197.32,294285,0.002
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),J01DC,CEFALOSPORINE DI SECONDA GENERAZIONE,J01DC02,CEFUROXIMA,Watch,35894.58,1108853,0.089
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),J01FA,MACROLIDI,J01FA06,ROXITROMICINA,Watch,18904,1435054,0.036
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),J01XD,DERIVATI IMIDAZOLICI,J01XD01,METRONIDAZOLO,Access,1.98,37386,0
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01XA,ANTIBATTERICI GLICOPEPTIDICI,J01XA02,TEICOPLANINA,Watch,981,995932,0.003
2014,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),J01CR,"ASSOCIAZIONI DI PENICILLINE, INCLUSI GLI INIBITORI DELLE BET",J01CR02,AMOXICILLINA E INIBITORE DELLA BETA-LATTAMASI,Access,2995027.8,1203498,6.818
