CLASSIFICAZIONE da REPORT,VACCINO,Patologia,Inizio Sintomi Anno,Sesso,Età Classe,Numero Pratiche,Popolazione Residente,Tasso Età-Sesso (x100'000),Tasso Regione(x 100000),Tasso Regione(x 100000) 1,Tasso
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,00-04,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,05-09,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,10-14,2,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,15-19,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,20-24,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,25-29,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,30-34,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,35-39,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,40-44,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,45-49,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,50-54,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,55-59,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,60-64,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,65-69,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,70-74,0,0,0,0,0,0
MALATTIE GASTROINTESTINALI/A TRASMISSIONE ALIMENTARE,,EPATITE A,"2,018",?,75-79,0,0,0,0,0,0
