"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"DATO:
LIMeco","FONTE DATI: 
ARPA Lombardia","ANNO DI RIFERIMENTO:
2019","","NOTA:                                           Valutazione annuale provvisoria","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","PROVINCIA","COMUNE","LOCALIZZAZIONE","","TIPO DI MONITORAGGIO","LIMeco",""
"","","","","COORD X","COORD Y","","VALORE","CLASSE"
"ADDA PRELACUALE","Adda (Fiume)","CO","Gera Lario","531884","5110769","operativo","0.807","ELEVATO"
"ADDA PRELACUALE","Lesina (Torrente)","SO","Andalo Valtellino","536401","5109423","operativo","0.891","ELEVATO"
"ADDA PRELACUALE","Valle di Aprica (Torrente)","SO","Aprica","587298","5111198","sorveglianza","0.906","ELEVATO"
"ADDA PRELACUALE","Adda Vecchia (Torrente)","SO","Ardenno","549741","5111738","operativo","0.375","SUFFICIENTE"
"ADDA PRELACUALE","Adda (Fiume)","SO","Berbenno di Valtellina","557373","5112015","operativo","0.859","ELEVATO"
"ADDA PRELACUALE","Frodolfo (Torrente)","SO","Bormio","604373","5145917","operativo","0.969","ELEVATO"
"ADDA PRELACUALE","Valfontana (Torrente)","SO","Chiuro","577071","5112777","sorveglianza","-","-"
"ADDA PRELACUALE","Roasco (Torrente)","SO","Grosio","597084","5126601","operativo","1.000","ELEVATO"
"ADDA PRELACUALE","Roasco Occidentale (Torrente)","SO","Grosio","588452","5131716","sorveglianza","-","-"
"ADDA PRELACUALE","Rio di Avedo (Torrente)","SO","Grosio","595851","5135411","sorveglianza","-","-"
"ADDA PRELACUALE","Adda (Fiume)","SO","Lovero","594488","5121058","operativo","0.938","ELEVATO"
"ADDA PRELACUALE","Adda (Fiume)","SO","Montagna in Valtellina","569773","5113064","operativo","0.859","ELEVATO"
"ADDA PRELACUALE","Adda (Fiume)","SO","Sondalo","604273","5135137","sorveglianza","0.758","ELEVATO"
"ADDA PRELACUALE","Mallero (Torrente)","SO","Sondrio","565883","5112478","operativo","0.938","ELEVATO"
"ADDA PRELACUALE","Belviso (Torrente)","SO","Teglio","584898","5112608","operativo","0.938","ELEVATO"
"ADDA PRELACUALE","Caronella (Torrente)","SO","Teglio","584453","511384","operativo","0.906","ELEVATO"
"ADDA PRELACUALE","Belviso (Torrente)","SO","Teglio","586843","5103428","sorveglianza","-","-"
"ADDA PRELACUALE","Poschiavino (Torrente)","SO","Tirano","588738","5118013","operativo","0.891","ELEVATO"
"ADDA PRELACUALE","Adda (Fiume)","SO","Tirano","590467","5118757","sorveglianza","0.938","ELEVATO"
"ADDA PRELACUALE","Masino (Torrente)","SO","ValMasino","545799","5121561","sorveglianza","-","-"
"ADDA PRELACUALE","Adda (Fiume)","SO","Valdidentro","604328","5149327","operativo","1.000","ELEVATO"
"ADDA PRELACUALE","Viola Bormina (Torrente)","SO","Valdidentro","592008","5142947","operativo","-","-"
"ADDA PRELACUALE","Viola Bormina (Torrente)","SO","Valdidentro","602203","5148497","operativo","0.969","ELEVATO"
