"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DATO:
LTLECO","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2019","","NOTA:                                           Valutazione annuale provvisoria","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BACINO IDROGRAFICO","LAGO","PROVINCIA","COMUNE","LOCALIZZAZIONE","","TIPO DI MONITORAGGIO","LTLeco","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","COORD X","COORD Y","","VALORE","","","CLASSE","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","TRASPARENZA (media annua m)","OSS. IPOLIMNICO (media ponderata nell'ipolimnio a fine periodo di  stratificazione % saturazione)","P TOT (media ponderata sulla colonna in max circolazione µg/l P)","","","","","","","","","","","","","","","","","","","","",""
"Lambro - Olona Meridionale","Alserio (lago)","CO","Monguzzo","516781","5070390","operativo","3.00","47.00","24.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Annone Est (lago)","LC","Civate","527173","5072980","operativo","2.80","15.00","20.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Annone ovest (lago)","LC","Civate","525973","5073780","operativo","2.50","77.00","22.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Comabbio (lago)","VA","Varano Borghi","476034","5067740","operativo","3.30","10.00","12.00","BUONO","","","","","","","","","","","","","","","","","","","",""
"Adda","Como (lago) - bacino di Como","CO","Como","506024","5075040","operativo","3.90","66.00","29.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Como (lago) - bacino di Como","CO","Argegno","510784","5085544","operativo","5.00","57.00","52.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Como (lago) - bacino di Lecco","LC","Dervio","522274","5101979","operativo","5.70","66.00","29.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Adda","Como (lago) - bacino di Lecco","CO","Abbadia Lariana","524973","5082980","operativo","6.60","62.00","28.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Spol","del Gallo (lago)","SO","Livigno","588673","5157677","sorveglianza","-","-","-","-","","","","","","","","","","","","","","","","","","","",""
"Oglio","Endine (lago)","BG","Endine Gaiano","573578","5070552","sorveglianza","4.10","34.00","15.00","SUFFICIENTE","","","","","","","","","","","","","","","","","","","",""
"Ticino","Ganna (lago)","VA","Valganna","486524","5082660","sorveglianza","2.10","109.00","6.00","BUONO","","","","","","","","","","","","","","","","","","","",""
