"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"DATO:
DATI ANALITICI ACQUE SOTTERRANEE","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"GWB","PROVINCIA","COMUNE","CODICE PP","COORD X","COORD Y","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,002"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","3/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","7/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","7/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","7/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
