PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
BRESCIA,ERBUSCO,BS069.0012,ditta Edil Plebani,LOCALITA' ZOCCO,n.d.,9.95925855,45.5964874,POINT (9.95925855 45.5964874),bassa
MANTOVA,CASTIGLIONE DELLE STIVIERE,MN017.0008,MONTE CORNA - BASE USAF DI AVIANO,LOCALITA' MONTE CORNA,n.d.,10.4913444,45.36072816,POINT (10.4913444 45.36072816),alta
MILANO,INVERUNO,MI113.0001,"EX ACI, PA.RO.GRA S.P.A.",VIA MAGENTA,n.d.,8.85208326,45.51356548,POINT (8.85208326 45.51356548),alta
MILANO,MILANO,MI146.0029,Area ex COGECO,"VIALE CASSALA, 16",n.d.,9.16235454,45.4449238,POINT (9.16235454 45.4449238),alta
MILANO,MILANO,MI146.0272,AREA DI LARGO ISARCO,"LARGO ISARCO, 2",aree industriali dismesse,9.205462,45.44434914,POINT (9.205462 45.44434914),alta
MILANO,MILANO,MI146.1077,EDIL CERTOSA,"VIALE CERTOSA, 308",n.d.,9.12279176,45.50326742,POINT (9.12279176 45.50326742),alta
MILANO,MILANO,MI146.3318,IMMOBILIARE CRISTALLO,"VIA LORENTEGGIO, 246",n.d.,9.12255535,45.44557095,POINT (9.12255535 45.44557095),alta
MILANO,PERO,MI170.0048,Cava Bossi,N.D.,n.d.,9.07702765,45.50685371,POINT (9.07702765 45.50685371),bassa
PAVIA,GARLASCO,PV069.0008,SOCOTHERM,"VIA SCALINA, 55",n.d.,8.90764591,45.19639746,POINT (8.90764591 45.19639746),alta
PAVIA,MORTARA,PV102.0023,BOMA AUTOTRASPORTI SRL,S.P.494,n.d.,8.7199521,45.2492437,POINT (8.7199521 45.2492437),alta
VARESE,TRADATE,VA127.0017,AUGUSTA,"VIA ISONZO, 33",n.d.,8.90596389,45.70744573,POINT (8.90596389 45.70744573),alta
MONZA E DELLA BRIANZA,LENTATE SUL SEVESO,MI119.0001,AREA EX TINTORIA F. BONECCHI,VIALE ITALIA (LOC.CAMNAGO) 9,aree industriali dismesse,9.13084884,45.66937865,POINT (9.13084884 45.66937865),alta
MILANO,CANEGRATE,MI046.0004,Forgiatura San Giorgio,"VIA VARESE, 10",aree industriali in attività,8.9230015,45.57185537,POINT (8.9230015 45.57185537),media
MILANO,MILANO,MI146.0021,AREA EX INNSE/INNOCENTI,"VIA RAFFAELE RUBATTINO, 98",aree industriali dismesse,9.24696064,45.47633813,POINT (9.24696064 45.47633813),alta
BERGAMO,DALMINE,BG091.0006,Ex P.V. Shell 11117,VIA DELLE VALLI,impianti di stoccaggio o adduzione carburanti,9.61452633,45.6567366,POINT (9.61452633 45.6567366),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0042,AREA SPALLANZANI/GUERRAZZI-OBIETTIVI RESIDENZIALE,VIA SPALLANZANI/GUERRAZZI 13,aree industriali dismesse,9.2631722,45.56905005,POINT (9.2631722 45.56905005),alta
MILANO,MILANO,MI146.2435,PII VIALE RIMEMBRANZE DI LAMBRATE 1-3,"VIALE DELLE RIMEMBRANZE DI LAMBRATE, 1-3",serbatoi carburante per riscaldamento,9.23886547,45.48216673,POINT (9.23886547 45.48216673),alta
MILANO,MILANO,MI146.4164,AREA VIA GIOVENALE N. 15 / VIA COL MOSCHIN N. 14-16,"VIA GIOVENALE, 15",aree industriali dismesse,9.18524001,45.4496021,POINT (9.18524001 45.4496021),alta
MILANO,MILANO,MI146.0373,AREA EX DUCOIL EX CHEMIBER,"VIA ARCIVESCOVO CALABIANA, 10",impianti di stoccaggio rifiuti,9.20896217,45.44330282,POINT (9.20896217 45.44330282),alta
MILANO,MILANO,MI146.3886,IMMOBILE RESIDENZIALE,"ALZAIA NAVIGLIO GRANDE, 156",aree industriali dismesse,9.14983322,45.44663074,POINT (9.14983322 45.44663074),alta
MILANO,MILANO,MI146.3266,PV CARBURANTI BEYFIN,"VIA GIUSEPPE RIPAMONTI, 483",impianti di stoccaggio o adduzione carburanti,9.206212,45.4140652,POINT (9.206212 45.4140652),alta
VARESE,CARONNO PERTUSELLA,VA034.0001,RAM SRL - AREA EX PROCHIM,"VIA LURA, 236",aree industriali in attività,9.03644511,45.5930085,POINT (9.03644511 45.5930085),alta
MILANO,LACCHIARELLA,MI115.0002,OMAR - AREA INDUSTRIALE DISMESSA PETROLDRAGON,"VIA LIGURIA, 5/7",impianti di stoccaggio rifiuti,9.15759075,45.31805198,POINT (9.15759075 45.31805198),bassa
MILANO,SAN DONATO MILANESE,MI192.0010,Area Ex Edilmat,VIA TICINO,n.d.,9.26779811,45.4091935,POINT (9.26779811 45.4091935),alta
MILANO,MILANO,MI146.2505,AREA ARENGARIO,"VIA GUGLIELMO MARCONI, 1",altri siti non meglio specificati,9.18998585,45.46347633,POINT (9.18998585 45.46347633),alta
MILANO,NOVATE MILANESE,MI157.0014,Area Dismessa Via Cadorna,VIA LUIGI CADORNA,n.d.,9.1335046,45.53343253,POINT (9.1335046 45.53343253),alta
MONZA E DELLA BRIANZA,AGRATE BRIANZA,MI003.0005,UQUIFA SPA,"VIA DELLE INDUSTRIE, 84",aree industriali dismesse,9.34224826,45.56305556,POINT (9.34224826 45.56305556),alta
MILANO,MILANO,MI146.2770,AREA DI VIA GASTONE DA FOIX,VIA GASTONE DA FOIX/ATTENDOLO MUZIO SFORZA,n.d.,9.20266845,45.42685369,POINT (9.20266845 45.42685369),alta
MILANO,BUSTO GAROLFO,MI041.0003,"""AREA EX RONDANINI CONSORZIO REGIONALE NOVA DOMUS S.C.R.L.""","VIA CURIEL,VIA MONTENEVOSO,VIA TAGLIAMENTO",aree industriali dismesse,8.88180665,45.54160553,POINT (8.88180665 45.54160553),bassa
VARESE,VARESE,VA133.0076,"AREA proprietà privata, abbandono rifiuti","VIA MONTE GENEROSO, 98",altri siti non meglio specificati,8.85858299,45.79919275,POINT (8.85858299 45.79919275),alta
MILANO,MILANO,MI146.0335,AREA EX P.V. ESSO,PIAZZALE FRANCESCO BACONE,impianti di stoccaggio o adduzione carburanti,9.21521443,45.47994811,POINT (9.21521443 45.47994811),alta
MILANO,MILANO,MI146.3090,AREA VIA BERRA,"VIA DOMENICO BERRA, 8",aree industriali dismesse,9.24853679,45.50892463,POINT (9.24853679 45.50892463),alta
COMO,ORSENIGO,CO170.0001,EX VOSACEC,VIA COMO-BARAGIOLA,aree industriali in attività,9.18127427,45.77805958,POINT (9.18127427 45.77805958),alta
MILANO,MILANO,MI146.0022,EX AUSCHEM,"VIA GIUSEPPE DE NOTARIS, 50-51",aree industriali dismesse,9.24289265,45.51140652,POINT (9.24289265 45.51140652),alta
MILANO,MILANO,MI146.2600,PII GARIBALDI REPUBBLICA U1 RESIDENZIALE - LOTTO 3,VIA MELCHIORRE GIOIA,aree industriali dismesse,9.19117838,45.48118236,POINT (9.19117838 45.48118236),alta
BERGAMO,ZANICA,BG245.0003,Insediamento dismesso ex deposito prodotti petroliferi SARPP,S.S.CREMASCA,aree industriali dismesse,9.7042914,45.63842203,POINT (9.7042914 45.63842203),bassa
