PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,NOTE,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MANTOVA,,MN009.0001,CENTRALE TERMOELETTRICA ENEL- EUROGEN,VIA COLOMBO 2,,aree industriali in attività,,,,nd
MILANO,PERO,MI170.0055,TRANSFLUID,"VIA VINCENZO MONTI, 19",,aree industriali dismesse,9.09648851,45.5097687,POINT (9.09648851 45.5097687),alta
MILANO,PIOLTELLO,MI175.0018,AREA MAGNI PIETRO E C,"VIA GABRIELE D' ANNUNZIO, 6",,aree industriali dismesse,9.32599738,45.4974908,POINT (9.32599738 45.4974908),alta
VARESE,CITTIGLIO,VA051.0002,Fallimento CONCERIA FRASCHINI e ARES srl - ex- ACQUATECH SRL,STRADA STATALE 394,,aree industriali dismesse,8.6701013,45.89062207,POINT (8.6701013 45.89062207),alta
BERGAMO,TERNO D ISOLA,BG213.0001,"ditta FBM HUDSON, con Chignolo d'Isola","VIA VALTRIGHE, 5",,aree industriali in attività,9.53960189,45.69013417,POINT (9.53960189 45.69013417),alta
PAVIA,CASEI GEROLA,PV033.0006,ARGINI EX ZUCCHERIFICIO,STRADA PROVINCIALE 206 VOGHERA NOVARA,,operazioni di recupero rifiuti,8.91244462,45.02824894,POINT (8.91244462 45.02824894),alta
MILANO,OPERA,MI159.0017,SOCIETÀ RETTAGLIATA SERVIZI SPA INCORPORATA IN SIRAM SPA,"VIA CAMICIE ROSSE, 2/4",,impianti di stoccaggio o adduzione carburanti,9.20915939,45.37288746,POINT (9.20915939 45.37288746),alta
MILANO,CASSINA DE PECCHI,MI060.0001,"FRAZIONE SANT'AGATA, CONSORZIO CONSAGA",LOCALITA' C.NA S.MORO,(*),impianti di stoccaggio o adduzione carburanti,9.39494352,45.50972657,POINT (9.39494352 45.50972657),alta
BRESCIA,MONTIRONE,BS114.0001,EX CAVA BONOMELLI,"VIA PEDRONA, 47",,smaltimenti non autorizzati - abbandono rifiuti,10.24726724,45.44208772,POINT (10.24726724 45.44208772),alta
MONZA E DELLA BRIANZA,CORNATE D ADDA,MI088.0004,Area Imm.re Villa Paradiso,"VIA VILLA PARADISO, 1",(*),attività minerarie o estrattive,9.48516865,45.64723131,POINT (9.48516865 45.64723131),alta
BRESCIA,CALCINATO,BS032.0001,DISCARICA ABUSIVA LOC. GAVARDINA,VIA GAVARDINA,,smaltimenti non autorizzati - abbandono rifiuti,10.39047775,45.47136289,POINT (10.39047775 45.47136289),alta
MILANO,MILANO,MI146.2291,Area di Piazza del Carmine,"PIAZZA DEL CARMINE, 4",,altri siti non meglio specificati,9.18544945,45.47042895,POINT (9.18544945 45.47042895),alta
MILANO,BRESSO,MI032.0005,NEMA Srl - Ex LOMBARDA TRASFORMATORI,"VIA GUGLIELMO MARCONI, 7",,aree industriali dismesse,9.1887056,45.53976155,POINT (9.1887056 45.53976155),alta
PAVIA,VALLE LOMELLINA,PV168.0001,Area S.I.F.,LOCALITA' STAZIONE,,aree industriali dismesse,8.66769012,45.15192622,POINT (8.66769012 45.15192622),alta
VARESE,LAVENO - MOMBELLO,VA087.0001,Area ex Ceramica Lago,VIA DE ANGELIS,(*),aree industriali dismesse,8.61781991,45.91113561,POINT (8.61781991 45.91113561),alta
MILANO,BARANZATE,MI250.0030,Società Dipharma Francis S.r.l.,"VIA BISSONE, 5",,aree industriali in attività,9.11620494,45.52049063,POINT (9.11620494 45.52049063),alta
MILANO,OPERA,MI159.0006,Centro Stoccaggio Rifiuti SVR,"VIA ROMAGNA, 19/21",,aree industriali dismesse,9.21585946,45.37094956,POINT (9.21585946 45.37094956),alta
LODI,CRESPIATICA,LO025.0002,BERETTA (EX FINITALIA),"VIA NINO DALL' ORO, 32",,aree industriali dismesse,9.57467607,45.35867126,POINT (9.57467607 45.35867126),alta
VARESE,COMABBIO,VA054.0002,AREA GLIMM SRL,"VIA BONGIASCA, 624",,aree industriali dismesse,8.67967637,45.77815872,POINT (8.67967637 45.77815872),alta
MILANO,MILANO,MI146.3866,VEAS S.R.L.,"VIA LODOVICO IL MORO, 81",,altri siti non meglio specificati,9.14170483,45.44464937,POINT (9.14170483 45.44464937),alta
MILANO,MILANO,MI146.1151,Area Ex Seis,"VIA CLETTO ARRIGHI, 19",,aree industriali dismesse,9.24898992,45.48282446,POINT (9.24898992 45.48282446),alta
LECCO,MOLTENO,LC051.0001,PV TAMOIL 6074,"VIALE LOMBARDIA, 12",,impianti di stoccaggio o adduzione carburanti,9.29288619,45.78240749,POINT (9.29288619 45.78240749),alta
VARESE,UBOLDO,VA130.0006,Area SICAD SpA (ex Contardo),"VIA CADUTI DELLA LIBERAZIONE, 57",,altri siti non meglio specificati,8.99400987,45.60265613,POINT (8.99400987 45.60265613),alta
BERGAMO,ALBINO,BG004.0003,Area lungo il fiume Serio,VIA ALESSANDRO PERTINI,(*),discariche abusive o incontrollate,9.81368137,45.76291977,POINT (9.81368137 45.76291977),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0073,IMPIANTO DEPOSITO E SELEZIONE MATERIALI FERROSI,"VIA DELLA GUERRINA, 20",,impianti di stoccaggio rifiuti,9.3009007,45.58727015,POINT (9.3009007 45.58727015),alta
MILANO,MILANO,MI146.4255,AREA VIA COMPAGNONI,"VIA GIUSEPPE COMPAGNONI, 12",,aree industriali dismesse,9.22150489,45.46448195,POINT (9.22150489 45.46448195),alta
MILANO,RHO,MI182.0024,"Immob. EDERA S.r.l. e IPR, ex area ACNA, ex Chimica Bianchi","VIA MAGENTA, 77",,aree industriali in attività,9.03755483,45.52165925,POINT (9.03755483 45.52165925),alta
BERGAMO,ZANICA,BG245.0006,Area ex ditta Cavalleri,LOCALITA' PADERGNONE,,altri siti non meglio specificati,9.68755206,45.64069879,POINT (9.68755206 45.64069879),alta
MILANO,MILANO,MI146.2466,RESIDENCE GIANNINO - ex area artigianale,"VIA FRATELLI VIVARINI, 5",,altri siti non meglio specificati,9.18002007,45.43888174,POINT (9.18002007 45.43888174),alta
MILANO,BUCCINASCO,MI036.0010,"Area ""ex SOLFRENE"" - Area Posteggio",VIALE LOMBARDIA,,aree industriali dismesse,9.11971328,45.42145617,POINT (9.11971328 45.42145617),alta
MILANO,LEGNANO,MI118.0009,VOLONTERIO FEDELE S.R.L.,"VIA CADORE, 32",,aree industriali in attività,8.90443784,45.60514034,POINT (8.90443784 45.60514034),alta
COMO,COMO,CO075.0030,CONDOMINIO - Sversamento accidentale da serbatoi interrati,"VIA NAPO TORRIANI, 30/32",,rilasci accidentali o dolosi di sostanze,9.07972985,45.8066239,POINT (9.07972985 45.8066239),alta
MILANO,MILANO,MI146.4031,Area industriale dismessa,VIA TRILUSSA,,aree industriali dismesse,9.1366061,45.51427734,POINT (9.1366061 45.51427734),alta
MILANO,MILANO,MI146.4322,Area proprietà privata,"VIALE ABRUZZI, 42",,aree industriali dismesse,9.21724172,45.47916635,POINT (9.21724172 45.47916635),alta
MONZA E DELLA BRIANZA,CORREZZANA,MI092.0001,Antibioticos S.p.A.,"VIA LUIGI EINAUDI, 8",,aree industriali dismesse,9.30045323,45.6695882,POINT (9.30045323 45.6695882),alta
BRESCIA,FIESSE,BS071.0001,EX CAVE ROCCA - ABBANDONO RIFIUTI,LOCALITA' CASCINA PIAVE,,smaltimenti non autorizzati - abbandono rifiuti,10.3331522,45.22699537,POINT (10.3331522 45.22699537),bassa
MILANO,SAN GIULIANO MILANESE,MI195.0026,Ditta Zincheria Musso,"VIA LOMBARDIA, 15",,aree industriali in attività,9.25384194,45.39694217,POINT (9.25384194 45.39694217),alta
MILANO,TURBIGO,MI226.0001,"PRATI DELLA FOLLA, EX DISCARICA BAROZZA",LOCALITA' PRATI DELLA FOLLA S.N.C.,,aree di spagliamento reflui fognari,8.73391698,45.52387761,POINT (8.73391698 45.52387761),alta
LECCO,CALCO,LC012.0001,PV SHELL N. 12 DITTA C.P.P.,"VIA NAZIONALE, 5",,impianti di stoccaggio o adduzione carburanti,9.41586768,45.72449995,POINT (9.41586768 45.72449995),alta
MANTOVA,MARMIROLO,MN033.0007,Area ex cava La Ferranda,"STRADA SOAVE, 24",,altri siti non meglio specificati,10.75235735,45.21696674,POINT (10.75235735 45.21696674),alta
MILANO,VIMODRONE,MI242.0008,Area ex Cinema Astor,"VIA PIAVE,TURATI,PAPA GIOVANNI XXIII",(*),altri siti non meglio specificati,9.28720479,45.51454179,POINT (9.28720479 45.51454179),bassa
BERGAMO,ARDESIO,BG012.0001,LOC. PIÀ SPIS,LOC.PIA' SPIS,(*),rilasci accidentali o dolosi di sostanze,9.89684399,45.94016786,POINT (9.89684399 45.94016786),bassa
