,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
0,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.5,2019-03-18,"Clorofilla ""a""",479-61-8,µg-L,3.9,CAS
1,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.5,2019-03-18,DOC,3133-05-9,mg-L,lt-0.5,WISE
2,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.3,2019-04-15,"Clorofilla ""a""",479-61-8,µg-L,2.3,CAS
3,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.3,2019-04-15,DOC,3133-05-9,mg-L,lt-0.5,WISE
4,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.2,2019-05-22,"Clorofilla ""a""",479-61-8,µg-L,1.3,CAS
5,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-7.2,2019-05-22,DOC,3133-05-9,mg-L,lt-0.5,WISE
6,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-6,2019-07-22,"Clorofilla ""a""",479-61-8,µg-L,9.5,CAS
7,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-6,2019-07-22,DOC,3133-05-9,mg-L,2.0,WISE
8,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-4,2019-08-26,"Clorofilla ""a""",479-61-8,µg-L,21.7,CAS
9,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-4,2019-08-26,DOC,3133-05-9,mg-L,1.0,WISE
10,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-6,2019-10-21,"Clorofilla ""a""",479-61-8,µg-L,6.9,CAS
11,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-strato-integrato,0-6,2019-10-21,DOC,3133-05-9,mg-L,3.0,WISE
12,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Alcalinità,71-52-3,meq-L,2.938,CAS
