DESCRIZIONE MATRICE (1°livello),DESCRIZIONE MATRICE (2° livello),Data inizio,Data fine,Comune di prelievo,Provincia,Nuclide,Attività specifica,Unità di misura,Column,Column2,* n.r.: non rilevabile (risultato inferiore alla sensibilità analitica),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-04T07:25:00Z,2019-06-04T07:25:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-04T07:25:00Z,2019-06-04T07:25:00Z,BERGAMO,BG,I-131,0.058,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-11-25T08:00:00Z,2019-11-26T08:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-11-25T08:00:00Z,2019-11-26T08:00:00Z,BERGAMO,BG,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-03-26T08:10:00Z,2019-03-27T08:10:00Z,BRESCIA,BS,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-03-26T08:10:00Z,2019-03-27T08:10:00Z,BRESCIA,BS,I-131,0.91,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-15T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-15T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,I-131,0.301,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-04-15T07:30:00Z,2019-04-16T07:30:00Z,CREMONA,CR,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-04-15T07:30:00Z,2019-04-16T07:30:00Z,CREMONA,CR,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-09T06:45:00Z,2019-10-10T06:45:00Z,CREMONA,CR,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
